sku,fecha,cantidad
CL-SML-4,2025-08-01,200
CL-TER-2,2025-08-01,50
CL-TER-3,2025-08-01,50
CL-TER-4,2025-08-01,50
CL-UNC-3,2025-08-01,50
CL-VIO-2,2025-08-01,50
CL-VIO-3,2025-08-01,50
CL-VIO-4,2025-08-01,50
CR-ALN-4,2025-08-01,100
CR-AVC-2,2025-08-01,250
CR-BEI-2,2025-08-01,100
CR-BEI-4,2025-08-01,75
CR-BLU-2,2025-08-01,60
CR-BLU-4,2025-08-01,50
CR-BRY-2,2025-08-01,140
CR-BRY-4,2025-08-01,190
CR-CLF-4,2025-08-01,100
CR-CRC-2,2025-08-01,120
CR-CRC-4,2025-08-01,100
CR-CRY-2,2025-08-01,120
CR-CRY-4,2025-08-01,100
CR-DGT-2,2025-08-01,105
CR-DGT-4,2025-08-01,130
CR-FPW-4,2025-08-01,160
CR-GMM-2,2025-08-01,110
CR-GMM-4,2025-08-01,100
CR-MNT-2,2025-08-01,50
CR-MNT-4,2025-08-01,50
CR-PNK-4,2025-08-01,60
CR-PRP-4,2025-08-01,60
CR-RED-2,2025-08-01,50
CR-RED-4,2025-08-01,50
CR-SBL-2,2025-08-01,100
CR-SBL-4,2025-08-01,75
CR-SGR-2,2025-08-01,100
CR-SGR-4,2025-08-01,75
CR-SML-4,2025-08-01,350
CR-TER-2,2025-08-01,100
CR-TER-4,2025-08-01,75
CR-UNC-2,2025-08-01,50
CRV-BLK-2,2025-08-01,60
CRV-BLK-4,2025-08-01,60
CR-VIO-2,2025-08-01,100
CR-VIO-4,2025-08-01,75
CR-YLL-2,2025-08-01,50
CR-YLL-4,2025-08-01,50
CT-BRY-0,2025-08-01,50
CT-GMM-0,2025-08-01,50
DP-PNK-0,2025-08-01,70
PB-AVC-2,2025-08-01,100
PB-BEI-2,2025-08-01,150
PB-BRY-2,2025-08-01,250
PB-CRC-2,2025-08-01,100
PB-CRY-2,2025-08-01,100
PB-DUK-2,2025-08-01,90
PB-FPW-2,2025-08-01,350
PB-GMM-2,2025-08-01,180
PB-MMD-2,2025-08-01,90
PB-RED-2,2025-08-01,70
PB-SBL-2,2025-08-01,100
PB-SGR-2,2025-08-01,150
PB-SML-2,2025-08-01,450
PB-STC-2,2025-08-01,400
PB-TER-2,2025-08-01,150
PB-TRT-2,2025-08-01,200
PB-UNC-2,2025-08-01,100
PB-VIO-2,2025-08-01,150
PC-GMM-U,2025-08-01,300
PC-SML-U,2025-08-01,300
PJ-AVC-4,2025-08-01,50
WB-BEI-U,2025-08-01,100
WB-BLK-U,2025-08-01,100
WB-SBL-U,2025-08-01,100
WB-SGR-U,2025-08-01,100
WB-TER-U,2025-08-01,100
WB-VIO-U,2025-08-01,100
AR-TBL-1,2025-09-01,50
AR-TBL-2,2025-09-01,75
AR-TBL-3,2025-09-01,100
AR-TBL-4,2025-09-01,50
AC-TBL-2,2025-09-01,30
AC-TBL-3,2025-09-01,100
AC-TBL-4,2025-09-01,60
CL-TBL-2,2025-09-01,50
CL-TBL-3,2025-09-01,50
CL-TBL-4,2025-09-01,50
CR-TBL-2,2025-09-01,100
CR-TBL-4,2025-09-01,170
PB-TBL-2,2025-09-01,150
AT-TBL-2,2025-09-01,50
AT-TBL-3,2025-09-01,75
AT-TBL-4,2025-09-01,75
AT-TBL-5,2025-09-01,30
AR-TRD-1,2025-09-01,50
AR-TRD-2,2025-09-01,75
AR-TRD-3,2025-09-01,100
AR-TRD-4,2025-09-01,50
AC-TRD-2,2025-09-01,30
AC-TRD-3,2025-09-01,100
AC-TRD-4,2025-09-01,60
CL-TRD-2,2025-09-01,50
CL-TRD-3,2025-09-01,50
CL-TRD-4,2025-09-01,30
CR-TRD-2,2025-09-01,100
CR-TRD-4,2025-09-01,170
PB-TRD-2,2025-09-01,150
AT-TRD-2,2025-09-01,50
AT-TRD-3,2025-09-01,75
AT-TRD-4,2025-09-01,75
AT-TRD-5,2025-09-01,30
AR-TMT-1,2025-09-01,50
AR-TMT-2,2025-09-01,75
AR-TMT-3,2025-09-01,100
AR-TMT-4,2025-09-01,50
AC-TMT-2,2025-09-01,30
AC-TMT-3,2025-09-01,100
AC-TMT-4,2025-09-01,60
CL-TMT-2,2025-09-01,50
CL-TMT-3,2025-09-01,50
CL-TMT-4,2025-09-01,50
CR-TMT-2,2025-09-01,100
CR-TMT-4,2025-09-01,170
PB-TMT-2,2025-09-01,100
AT-TMT-2,2025-09-01,50
AT-TMT-3,2025-09-01,75
AT-TMT-4,2025-09-01,75
AT-TMT-5,2025-09-01,30
AR-TPK-1,2025-09-01,50
AR-TPK-2,2025-09-01,75
AR-TPK-3,2025-09-01,100
AR-TPK-4,2025-09-01,50
AC-TPK-2,2025-09-01,30
AC-TPK-3,2025-09-01,100
AC-TPK-4,2025-09-01,60
CL-TPK-2,2025-09-01,50
CL-TPK-3,2025-09-01,50
CL-TPK-4,2025-09-01,50
CR-TPK-2,2025-09-01,100
CR-TPK-4,2025-09-01,170
PB-TPK-2,2025-09-01,150
AT-TPK-2,2025-09-01,50
AT-TPK-3,2025-09-01,75
AT-TPK-4,2025-09-01,75
AT-TPK-5,2025-09-01,50
AR-ZMB-1,2025-09-01,50
AR-ZMB-2,2025-09-01,75
AR-ZMB-3,2025-09-01,100
AR-ZMB-4,2025-09-01,75
AR-ZMB-5,2025-09-01,30
AC-ZMB-2,2025-09-01,50
AC-ZMB-3,2025-09-01,100
AC-ZMB-4,2025-09-01,50
CR-ZMB-2,2025-09-01,100
CR-ZMB-4,2025-09-01,180
CL-ZMB-1,2025-09-01,30
CL-ZMB-2,2025-09-01,50
CL-ZMB-3,2025-09-01,50
CL-ZMB-4,2025-09-01,30
PB-ZMB-2,2025-09-01,150
AT-ZMB-2,2025-09-01,50
AT-ZMB-3,2025-09-01,50
AT-ZMB-4,2025-09-01,50
AT-ZMB-5,2025-09-01,50
CG-ZMB-U,2025-09-01,50
,2025-09-01,
AC-ALN-3,2025-09-01,50
AR-ALN-5,2025-09-01,50
AT-ALN-3,2025-09-01,50
AT-AVC-4,2025-09-01,80
BH-AVC-2,2025-09-01,50
CR-AVC-4,2025-09-01,180
PB-AVC-2,2025-09-01,120
AC-BRY-2,2025-09-01,75
AC-BRY-3,2025-09-01,105
AC-BRY-4,2025-09-01,50
AT-BRY-3,2025-09-01,90
AT-BRY-4,2025-09-01,50
AT-BRY-5,2025-09-01,60
BH-BRY-1,2025-09-01,70
BH-BRY-2,2025-09-01,80
BH-BRY-3,2025-09-01,50
CR-BRY-4,2025-09-01,75
AR-CLF-4,2025-09-01,50
AR-CLF-5,2025-09-01,50
CL-CLF-4,2025-09-01,50
PB-CLF-2,2025-09-01,80
CR-LPG-4,2025-09-01,60
BH-DGT-2,2025-09-01,50
PB-DGT-2,2025-09-01,170
AC-FPW-2,2025-09-01,50
AC-FPW-3,2025-09-01,50
AR-FPW-2,2025-09-01,50
AR-FPW-3,2025-09-01,50
AT-FPW-3,2025-09-01,70
AT-FPW-4,2025-09-01,50
BH-FPW-1,2025-09-01,50
BH-FPW-2,2025-09-01,50
CL-FPW-2,2025-09-01,50
CR-FPW-2,2025-09-01,180
BH-GMM-1,2025-09-01,50
PB-GMM-2,2025-09-01,70
AC-MMD-3,2025-09-01,50
AT-MON-2,2025-09-01,50
AT-MON-3,2025-09-01,50
AT-MON-4,2025-09-01,50
AT-MON-5,2025-09-01,50
CL-MON-4,2025-09-01,50
CR-MON-2,2025-09-01,50
CR-MON-4,2025-09-01,50
